"Dependentes","Estado.Civil","Idade","Conta.Poupanca","Conta.Salario","Cheque.Sem.Fundo","Conta.Conjunta","Valor.Emprestimo","Multa","Juros","Valor.Emprestimo.Atualizado","PAGO","ID"
1,8,3,1,1,1,1,3,3,3,3,1,1353535
2,2,3,2,1,1,1,2,2,1,1,1,1374664
1,4,2,2,1,1,1,3,2,3,3,1,1321663
1,8,2,1,1,1,1,2,2,2,2,1,47000152
1,2,1,2,1,2,2,3,1,2,2,1,47016463
1,4,1,2,1,1,1,2,2,2,1,1,1378696
1,8,3,1,1,2,1,2,3,2,2,1,1393240
1,2,3,2,1,2,1,3,3,3,3,1,1375330
2,2,2,2,1,1,2,2,1,2,2,1,1387765
2,2,3,2,1,1,1,2,3,2,2,1,16844122474
1,8,3,1,1,2,1,3,1,2,2,1,1385152
2,2,2,2,1,1,1,2,1,1,1,1,1475020
1,2,2,2,1,1,1,2,2,1,1,1,1484533
2,2,3,2,1,1,1,2,1,2,2,1,1324780
1,2,1,2,1,1,1,2,1,1,2,1,1471642
1,2,3,2,1,2,1,2,3,2,2,1,16882964068
2,2,3,2,1,1,1,2,2,1,1,1,1424200
2,1,2,2,1,1,1,2,2,1,1,1,1399591
2,2,3,2,1,2,1,2,2,1,1,1,16805002474
1,2,3,2,1,1,1,3,3,3,3,1,46972591
2,2,3,2,1,2,1,2,3,2,2,1,1379482
1,2,2,2,1,1,1,2,1,1,1,1,1478200
1,3,3,1,1,1,1,2,1,2,2,1,1307947
1,8,2,1,1,2,1,2,1,1,1,1,16866773668
1,4,3,2,1,2,1,3,3,3,3,1,1325467
1,8,1,1,1,1,1,2,3,3,3,1,1359013
1,4,3,2,1,2,1,3,2,3,2,1,46952608
1,2,3,2,1,2,1,2,3,3,1,1,16834359271
1,2,1,2,1,2,1,2,1,1,1,1,1449937
1,2,2,2,1,1,1,2,1,1,1,1,1340950
2,2,3,2,1,1,1,2,2,2,2,1,1319362
1,2,3,2,1,1,1,2,1,2,2,1,1331518
2,2,2,2,1,1,1,2,1,2,2,1,1314286
2,2,3,2,1,2,1,2,1,1,1,1,1322158
1,2,2,2,1,2,1,3,2,2,2,1,1414477
2,2,2,2,1,1,1,2,3,3,3,1,1369513
1,2,1,2,1,1,1,3,3,2,3,1,1508359
2,2,1,2,1,1,1,2,1,1,2,1,1513135
1,4,1,2,1,2,1,2,2,1,1,1,1394098
1,8,1,1,1,2,1,2,1,1,1,1,1449991
1,2,3,2,1,1,1,2,1,1,1,1,1430209
2,2,3,2,1,1,1,3,2,3,3,1,1452301
2,8,2,1,1,1,1,2,2,1,1,1,1391020
2,2,3,2,1,1,1,2,1,1,1,1,1321846
1,2,3,2,1,1,1,2,2,2,2,1,1336684
1,4,2,2,1,1,1,2,2,2,1,1,21605640868
2,2,3,2,1,2,1,2,1,1,1,1,1404430
2,8,2,1,1,1,1,2,1,2,2,1,1442677
2,2,2,2,1,1,1,2,1,1,2,1,1470469
1,2,3,2,1,1,1,2,1,1,1,1,1438729
2,2,3,2,1,1,1,2,1,1,1,1,1407712
2,4,2,2,1,1,1,2,3,3,3,1,1370506
2,2,2,2,1,1,1,2,1,1,1,1,1348696
2,3,3,1,1,1,1,2,1,1,1,1,1371565
1,8,2,1,1,1,1,2,3,3,3,1,1389955
1,4,3,2,1,1,1,3,3,3,3,1,21606051268
1,4,3,2,1,2,1,2,2,1,1,1,1363621
1,2,2,2,1,1,1,3,1,3,2,1,1376611
2,11,3,2,1,1,1,3,3,3,2,1,16829192068
1,2,3,2,1,1,1,2,2,1,1,1,1398184
2,2,1,2,1,2,1,2,1,1,1,1,1487062
2,2,2,2,1,1,1,2,1,1,1,1,1505437
1,4,2,2,1,1,1,3,1,3,2,1,1314664
1,4,2,2,1,1,1,2,2,2,2,1,16806281671
1,8,1,1,1,1,1,3,1,2,2,1,1386445
2,2,2,2,1,1,1,2,1,2,2,1,1376182
1,4,1,2,1,1,1,2,3,2,2,1,1391998
2,2,2,2,1,1,1,2,2,2,2,1,1341355
1,4,2,2,1,2,1,2,3,1,2,1,1451086
1,8,2,2,2,1,1,2,2,1,1,1,1360384
1,2,1,2,1,2,1,3,2,3,3,1,1369444
1,4,3,2,1,1,1,2,1,2,2,1,1375675
1,8,3,1,1,1,1,2,2,1,1,1,1464664
1,2,3,2,1,1,2,2,1,1,1,1,1476568
1,4,1,2,1,1,1,2,2,1,1,1,1379941
2,2,1,2,1,2,1,2,1,2,2,1,1391608
2,2,2,2,1,1,1,3,2,3,3,1,1376266
1,4,1,2,1,2,1,3,2,3,3,1,1407943
1,4,2,2,1,2,1,2,3,2,2,1,1455643
1,8,2,1,1,1,1,2,1,1,1,1,1394845
1,8,3,1,1,1,1,2,2,2,2,1,1390690
1,2,3,2,1,2,1,2,1,1,1,1,47016622
2,2,2,2,1,1,1,2,1,2,2,1,1309051
1,4,2,2,1,2,1,3,2,3,3,1,1373422
1,4,2,2,1,1,1,3,2,3,3,1,1394686
2,2,3,2,1,1,1,2,2,1,1,1,1393060
2,4,1,1,1,2,1,3,2,3,3,1,1453516
2,2,1,2,1,1,1,3,1,1,2,1,1512472
1,2,3,2,1,1,1,2,3,3,3,1,1321960
2,2,3,2,1,2,1,2,1,2,2,1,1327234
1,4,3,2,1,2,1,3,3,3,3,1,1311526
2,2,2,2,1,1,1,2,1,1,1,1,1409110
1,4,2,2,1,1,1,2,2,1,1,1,1482784
1,4,1,2,1,2,1,3,1,2,2,1,1461469
2,2,2,2,1,2,1,3,1,2,2,1,1442842
1,2,3,2,1,2,1,3,3,3,3,1,1385494
1,2,3,2,1,1,1,3,3,3,3,1,1375459
2,2,3,2,1,1,1,3,2,3,3,1,1384276
1,2,3,2,1,1,1,2,1,1,1,1,1492504
1,2,3,2,1,2,1,3,2,3,3,1,1456699
1,2,1,2,1,1,1,2,1,2,2,1,1414363
1,2,3,2,1,2,1,2,1,1,1,1,1456204
1,2,2,2,1,2,1,2,2,2,2,1,46997692
2,2,2,2,1,1,1,2,1,2,1,1,1337470
2,2,2,2,1,1,1,2,2,2,2,1,16830972874
1,2,1,2,1,2,1,2,2,1,1,1,1371493
